Sainsbury's Kalamata Olive Bread Taste the Difference 400g	1.5	1
Sainsbury's Aubergine Each	1.4	2
Sainsbury's Cayenne Pepper 42g	1	1
Sainsbury's Responsibly Sourced Scottish Salmon Fillet 260g	12.75	3
Sainsbury's Red Pepper Each	1.5	3
Sainsbury's Thai Red Curry Paste 180g	1.4	1
Sainsbury's Avocado, Ripen at Home x4	1.85	1
Sainsbury's Medium Egg Noodles 375g	1.35	1
Sainsbury's Limes x5	1.5	1
Sainsbury's British Chicken Breast Fillet Portions 650g	4.25	1
Sainsbury's Mixed Peppers (Colours may vary) x3	1	1
Sainsbury's Plain Tortilla Wraps x8	1.8	2
Sainsbury's Soured Cream 300ml	1	1
Doritos Mild Salsa Dip 326g	1.85	1
Sainsbury's Large Red Onions x3	0.75	1
Sainsbury's British Semi Skimmed Milk 2.27L (4 pint)	1	1
Sainsbury's Handwash, Honey & Willowbark 250ml	0.9	1
Eat Natural Crunchy Toasted Muesli, Nuts & Seeds 500g	2	1
Rowse Original Squeezy Honey 680g	4.5	1
Andrex Toilet Tissue Classic Clean, White x16 Rolls	7.5	1
PG tips Pyramid Tea Bags x160 464g	2.5	1
Dylon Colour Catcher Sheets x40	3	1
Birds Eye Chicken Quarter Pounders x2 227g	1.5	1
Sainsbury's Courgettes Loose	0.95	0.5
Sainsbury's Tomatoes Loose	1.5	0.75